organisation,org_acronym,org_type,project_sector,activities,status,state,lga,ward,ishrp,response_type,isrp,people_reached,month,year
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Mutai,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gujba,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Ngurbuwa,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gotala/Gotumba,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gotala/Gotumba,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Ngurbuwa,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Goniri,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Dadingel,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Buniyadi North / South,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
